Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,company_txt,job_state,age
Data Scientist,Employer Provided Salary:$155K - $166K,"Job Description
We are an awesome and experienced team, a fast-growing Space Startup involving senior executives and leaders from well-known commercial and government organizations. We have an incredible pool of partnerships, leaders, and talent from well-known commercial companies and governments in the Space ecosystem. We promote all facets of diversity.
Experience in previous startups is a strong plus.
Experience from the Space industry is not required.
Summary
The Principal Data Scientist will harness AWS3 data to advance our machine learning goals. This role is central to crafting and deploying models that process AWS3 data, ensuring our solutions are innovative and scalable. A significant part of the role involves refining Amazon machine learning models, like Amazon Rekognition, to meet our distinct needs. Working closely with our AI and development teams, this engineer will combine technical depth with a vision for making a meaningful societal impact through our data-driven solutions.",-1.0,Fabrx Space,Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,155,166,160.5,Fabrx Space,Remote,-1
"Data Scientist I, Bioinformatics",$81K - $112K (Glassdoor est.),"Job Summary

The Bioinformatics department has an opening for a Data Scientist I. This role will employ a highly skilled data scientist with expertise in developing machine learning models to curate and analyze large, multi-modal datasets generated by the SimCenter at UT Southwestern Medical School. Experience with using machine learning for analyses of video-based data sets is a plus. They will work closely with our software and AI engineers to ensure that the models are integrated into actionable user interfaces.

Job Duties

Analyzes and develops formalisms, algorithms and software for applications in biomedical research.

Develops and maintains software tools and infrastructure for resolving specific problems.

Assists in the development, testing and revision of programs in a team with diverse bioinformatics expertise.

Performs other duties as assigned.


Clean, organize, and analyze large, multi-model data sets

Build, train, test, and evaluate machine learning models on our proprietary data sets

Understand and implement the latest video-based machine learning models

Continuously improve the performance of the models by analyzing results and experimenting with different techniques

Collaboratively ensure the models are integrated into the user interfaces.

Experience and Education

M.S. in Computer Science, Bioinformatics, (Bio)mathematics, (Bio)statistics, Physics, Electrical Engineering, or related field OR B.S. with demonstrated experience in broadly defined areas of bioinformatics.

0 - 2 years post-graduation experience in data analysis and/or scientific software development.


Strong experience with Python and related data science libraries such as Pandas, Numpy, Scikit-learn.

Strong experience with machine learning frameworks such as Tensorflow or PyTorch.

Experience with video analysis with machine learning, specifically with CNNs and other deep learning models.

Experience with data visualization tools such as Matplotlib or Seaborn.

Strong understanding of data science and machine learning principles and best practices.

Experience with cloud platforms such as AWS or GCP.

Strong debugging and problem-solving skills.

Why UT Southwestern?

With over 75 years of excellence in Dallas-Fort Worth, Texas, UT Southwestern is committed to excellence, innovation, teamwork, and compassion. At UT Southwestern, we invest in you with opportunities for career growth and development that align with your future goals and help to provide security for you and your family. Our highly competitive benefits package offers healthcare, PTO and paid holidays, on-site childcare, wage, merit increases and so much more that are all available on the day you start work. UT Southwestern is honored to be a Veteran Friendly work environment that is home to approximately 800 veterans. We value your integrity, dedication, and the commitment you’ve made to our country. We’re proud to support your next mission. Ranked by Forbes as one of the Top 10 National Employers, we invite you to be a part of the UT Southwestern team where you’ll discover teamwork, professionalism, and consistent opportunities for growth.

This position is security-sensitive and subject to Texas Education Code §51.215, which authorizes UT Southwestern to obtain criminal history record information. UT Southwestern Medical Center is committed to an educational and working environment that provides equal opportunity to all members of the University community. As an equal opportunity employer, UT Southwestern prohibits unlawful discrimination, including discrimination on the basis of race, color, religion, national origin, sex, sexual orientation, gender identity, gender expression, age, disability, genetic information, citizenship status, or veteran status. To learn more, please visit: why-work-here/diversity-inclusion",3.9,"UT Southwestern
3.9","Dallas, TX",10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),81,112,96.5,UT Southwestern, TX,80
Data Scientist - Remote,Employer Provided Salary:$80K - $110K,"Data Scientist
Job Overview
We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.",-1.0,DLZP Group,Remote,-1,-1,-1,-1,-1,-1,80,110,95.0,DLZP Group,Remote,-1
Data Scientist,Employer Provided Salary:$150K - $200K,"Summary:
We are looking for a junior- to mid-level hands-on Data Scientist to work on large-scale data analytic capabilities and extract insights from structured and unstructured data. The primary focus will be in applying/developing data mining, machine learning and statistical techniques, conducting R&D on data science-integrated investment insights, and building high quality data-driven research and investment. This person will regularly engage in deep scientific research. Experience in text analytics and other unstructured data is plus; and previous experience of applying data science in equity research and the financial industry is also a plus.
Responsibilities:
Evaluate and analyze structured and unstructured data sets and R&D data-driven solutions and insights
Collaborate with research and investment teams to identify data science use cases and integrate new data sources into fundamental research and investment theses densification
The salary range for this role is $150,000-$200,000. This is the lowest to highest salary we in good faith believe we would pay for this role at the time of this posting. We may ultimately pay more or less than the posted range, and the range may be modified in the future. This range is only applicable for jobs to be performed in New York City. An employee’s pay position within the salary range will be based on several factors including, but limited to, relevant education, qualifications, certifications, experience, skills, seniority, geographic location, performance, shift, travel requirements, sales or revenue-based metrics, any collective bargaining agreements, and business or organizational needs. This job is also eligible for a discretionary bonus. We offer a comprehensive package of benefits including paid time off, medical/dental/vision insurance, 401(k), life insurance and other benefits to eligible employees.",4.3,"Neuberger Berman
4.3","New York, NY",1001 to 5000 Employees,1939,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),150,200,175.0,Neuberger Berman, NY,84
"Data Scientist, Product",Employer Provided Salary:$160K - $255K,"About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).",4.8,"Notion
4.8","San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,160,255,207.5,Notion, CA,7
Data Scientist,Employer Provided Salary:$180K - $184K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Data
Job Details
About Salesforce
We’re Salesforce, the Customer Company, inspiring the future of business with AI+ Data +CRM. Leading with our core values, we help companies across every industry blaze new trails and connect with customers in a whole new way. And, we empower you to be a Trailblazer, too — driving your performance and career growth, charting new paths, and improving the state of the world. If you believe in business as the greatest platform for change and in companies doing well and doing good – you’ve come to the right place.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.",4.1,"Salesforce
4.1","San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),180,184,182.0,Salesforce, CA,24
Decision Scientist,Employer Provided Salary:$133K - $185K,"Instagram’s vision is “to be a place where people come together over what they love.” We help our users express themselves, stay connected to friends and creators, explore their interests and help creators turn their passion to living. Join us!Instagram Marketing Decision Science (IG MDS) team’s mission is to transform Instagram Brand into an iconic symbol of culture, especially for youthful optimists, our users. We inform strategy that creates marketing and product experiences that are as brave as the youth culture we celebrate. We do that by using data and science to: activate brand strategy, lead the understand-test-measure-optimize cycle across audience, creative, messaging and media. To be successful in this mission, we’re looking for passionate, analytical, marketing decision scientists. So are you passionate about Instagram? Do you love the product and want to contribute to its mission? Are you excited about Marketing, both brand and product? Do you thrive at the intersection of data science, consumer actions, sentiments, marketing and product? Do you have an insatiable curiosity to understand what messages resonate with which users? Do you have experience in launching hypothesis-driven experiments, provide data-based insights to help marketers make better decisions? Are you strong in quantitative, analytical thinking and technical skills (SQL, Stats, R/Python etc.)? Are you hungry to create impact by owning and driving analytical projects and business outcomes? If Yes to most of these questions, let’s talk.",3.9,"Meta
3.9",Remote,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),133,185,159.0,Meta,Remote,19
Data Scientist,$89K - $128K (Glassdoor est.),"Responsible for working with business users to fully understand their needs for data science solutions; work with a variety of data sources, both internal and external, as well as structured and unstructured formats, to build analytic models utilizing machine learning techniques; perform deep dive analytics, ad hoc reporting, report automation, fee schedule processing, and dashboard creation/maintenance; partner with the IT group to ensure that the data is sourced from the right location for data science model building; develop ETL pipelines for model training, evaluation and deployment; develop and code data science programs, algorithms, and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources; interact with data engineers, business analysts and others to ensure data solutions address full needs; leverage appropriate data science techniques to drive the creation of insights from data; combine data extraction, preparation, and data cleansing with model training and evaluation using Pandas and Alteryx; develop and code data science programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources; use GitHub and similar version control system to maintain source code; interpret and communicate insights and findings from analysis and experiments for a multi-department audience using Data Visualization tools including Power BI and Tableau; utilize MS Access, MS Excel, T-SQL, Oracle SQL, Python, R, healthcare data analytics, quantitative statistical analysis, baseline/trend analysis, qualitative statistical analysis and health economics to perform duties; access data from internal databases and sources, including warehoused and pre-modeled data; server as the Tableau Subject Matter Expert (SME); accountable for the development and production support of interactive data visualizations; perform Tableau server administration for users and user groups; refresh scheduling via Server and TSC; develop dynamic websites with Microsoft SharePoint, as well as automatic registration systems with Microsoft Powerplatformp; use advanced knowledge of data warehousing and data mining principles including DataMart design, fact tables, dimension tables, data views and star schema to complete assigned tasks; stay current on data science and analytics tools, techniques, and practices; and work in an Agile/Scrum environment to write clean, reliable, and testable code that supports rapid delivery via CICD and automated deployments.",3.8,"Health Alliance Plan
3.8","Detroit, MI",1001 to 5000 Employees,1956,Company - Private,Insurance Carriers,Insurance,$1 to $5 billion (USD),89,128,108.5,Health Alliance Plan, MI,67
Data Scientist,Employer Provided Salary:$100K - $137K,"In this role as a Data Scientist, you will be expected to create business insights from the available data. You should be confident in your ability to structure the data in a useful manner, mine it, and make relevant assumptions, build correlation models, prove causality, and search the data for signs of anything that can deliver a positive business impact. We are looking for a team member who has sound business understanding, data handling, programming and data visualization skills to formulate the questions that will help business identify and overcome operational challenges using KPI’s.

How You'll Make An Impact:
Participate in identifying, experimenting and testing of new ways to deliver value from combinations of operational data, customer data and third-party data sources.",3.4,"Bio-Rad Laboratories, Inc.
3.4","Irvine, CA",5001 to 10000 Employees,1952,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),100,137,118.5,"Bio-Rad Laboratories, Inc", CA,71
Data Scientist,$89K - $122K (Glassdoor est.),"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.",4.1,"Visa
4.1","Atlanta, GA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),89,122,105.5,Visa, GA,65
Data Scientist - Remote,Employer Provided Salary:$120K - $180K,"Clearance Level Other Category Data Science Location Falls Church, the USA
Public Trust: BI Full 6C (T4)
Requisition Type: Regular
Your Impact
Own your opportunity to work alongside federal civilian agencies. Make an impact by providing services that help the government ensure the well being of U.S. citizens.
Job Description
Data Scientist Senior Advisor
GDIT, a Federal marketplace leader in next-generation IT solutions and professional services, is seeking highly qualified and motivated IT professionals like you who are eager to contribute to our critical Homeland Security missions. For the Department of Homeland Security (DHS), Customs & Border Protection (CBP), GDIT supports programs and projects to improve trade business processes, and enhance data analysis and availability. GDIT is excited to offer you a unique opportunity to join our team to help lay out a strategic roadmap that identifies analytics the organization can build to leverage data assets in the organization.",4.0,"General Dynamics Information Technology
4.0","Falls Church, VA",10000+ Employees,1996,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$10+ billion (USD),120,180,150.0,General Dynamics Information Technology, VA,27
Data Scientist,Employer Provided Salary:$150K - $175K,"We're on a mission
At Octaura, we continually evolve markets to unleash value for clients. It's in our DNA to make a difference and do things differently.
Existing workflows within our markets are painful for clients: they are outdated, overcomplicated, and time-consuming. We want to change that. Octaura fundamentally rebuilds and redefines the markets by streamlining workflows, digitizing platforms, and bringing transactions, data and analytics together for the first time.
Join our inclusive culture
At Octaura, everyone belongs.
It's so important to us that all Octaurians are confident in knowing they have the space to use their voice and talents. We love the diversity we see in the world and we actively want our team to reflect this. We're a values-driven company and by engaging, solving and evolving together, we create a culture that is collaborative, switched-on, and fun to be part of.
The role in a nutshell",5.0,"Octaura
5.0","New York, NY",1 to 50 Employees,2022,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,150,175,162.5,Octaura, NY,1
Data Scientist,$92K - $125K (Glassdoor est.),"Durham, NC | Austin, TX | Remote | Full Time
Data Scientist
We're looking for Data Scientists to work on our core and business products to help shape the future of what we build at Hyperspace Ventures. You will enjoy working with various data sets, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.

Responsibilities:",4.2,"Hyperspace Ventures
4.2","Durham, NC",1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,92,125,108.5,Hyperspace Ventures, NC,6
Junior Data Scientist,Employer Provided Salary:$80K - $90K,"Fremont, California
Type: Full-time
Min. Experience: Some Experience
Salary: $80,000 - $90,000

As a Junior Data Scientist, you will help support the Senior Data Scientist in analysis and research, and machine learning modeling that is underpinning new and current products. Additionally, the Junior Data Scientist will support the Data Engineer in building new data pipelines including new ETL functions.",3.5,"SoundThinking
3.5","Fremont, CA",201 to 500 Employees,1996,Company - Public,Software Development,Information Technology,$25 to $100 million (USD),80,90,85.0,SoundThinking, CA,27
Data Scientist,Employer Provided Salary:$155K - $166K,"Job Description
We are an awesome and experienced team, a fast-growing Space Startup involving senior executives and leaders from well-known commercial and government organizations. We have an incredible pool of partnerships, leaders, and talent from well-known commercial companies and governments in the Space ecosystem. We promote all facets of diversity.
Experience in previous startups is a strong plus.
Experience from the Space industry is not required.
Summary
The Principal Data Scientist will harness AWS3 data to advance our machine learning goals. This role is central to crafting and deploying models that process AWS3 data, ensuring our solutions are innovative and scalable. A significant part of the role involves refining Amazon machine learning models, like Amazon Rekognition, to meet our distinct needs. Working closely with our AI and development teams, this engineer will combine technical depth with a vision for making a meaningful societal impact through our data-driven solutions.",-1.0,Fabrx Space,Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,155,166,160.5,Fabrx Space,Remote,-1
Data Scientist,Employer Provided Salary:$84K - $98K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",3.9,"Vetro Tech Inc
3.9","Columbus, OH",Unknown,-1,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,84,98,91.0,Vetro Tech Inc, OH,-1
Data Scientist/Modeler I,$92K - $127K (Glassdoor est.),"Battelle delivers when others can’t. We conduct research and development, manage national laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.
Job Summary
We are currently seeking an entry-level Data Scientist/Modeler I. This position located in Columbus, OH.

Battelle’s Chemical, Biological, Radiological, Nuclear, and Explosives (CBRNE) Defense business line, in our National Security business unit, is currently seeking persons with knowledge of physical/mathematical phenomena and programming savvy. The Hazard Modeling Team within CBRNE Defense provides its customers with technical analyses as well as modeling capabilities to inform their preparedness and response planning efforts to mitigate risk to the United States or their company. Successful applicants will have the opportunity to make this Nation and Battelle’s clients safer and better prepared.",3.9,"Battelle
3.9","Columbus, OH",1001 to 5000 Employees,1929,Nonprofit Organization,Research & Development,Management & Consulting,$5 to $10 billion (USD),92,127,109.5,Battelle, OH,94
Data Scientist,$88K - $132K (Glassdoor est.),"Skills relating to Mathematics/Statistics .
Graduate/Engineer/Post-Graduate with a huge interest in handling numbers.
Ability to understand all domains in businesses across various sectors.
A natural passion for numbers, business, coding, Analytics, and Artificial Intelligence, Machine Learning, visualization.
Good verbal and written communication skills.
Analyze large and complex data sets from multiple sources.
Develop and evaluate data analytics models, algorithms and solutions.
Implement algorithms to mine targeted data and the ability to convert data into a business story.",4.9,"Wise Equation Solutions
4.9","Austin, TX",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),88,132,110.0,Wise Equation Solutions, TX,17
Data Scientist,Employer Provided Salary:$106K - $130K,"At Evolve we’re a hardworking team serious about hospitality. Our teams work every day to make vacation rental easy for everyone — from our owners who trust Evolve to build their business to our guests who rest easy with every stay to our Evolvers who make this difference a reality. Our values anchor our daily decisions and interactions with our customers, communities, and each other. Join our inclusive culture in one of the most rapidly-growing segments in travel. Find your home at Evolve.
Why this role
As a tech-enabled disruptor in the vacation rental industry, Evolve is professionalizing the category by leveraging data science to capitalize on opportunities across the vacation rental ecosystem. The projects we work on aim to fundamentally change how guests interact with vacation rentals and how homeowners maximize rental income generation. As a member of the core data science team, you will be responsible for building machine learning products using a combination of modeling, software development, exploratory analysis, and data strategy to transform how a business domain is able to operate.",2.9,"Evolve Vacation Rentals
2.9",Remote,201 to 500 Employees,2011,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,106,130,118.0,Evolve Vacation Rentals,Remote,12
Data Scientist,Employer Provided Salary:$100K - $110K,"Preferred Qualifications:
Up-to-date knowledge of machine learning and data analytics tools and techniques
Strong knowledge in predictive modeling methodology
Experienced at leveraging both structured and unstructured data sources
Willingness and ability to learn new technologies on the job
Demonstrated ability to communicate complex results to technical and non-technical audiences
Demonstrated ability to work effectively in teams as well as independently across multiple tasks while meeting aggressive timelines
Strategic, intellectually curious thinker with focus on outcomes",3.6,"DevCare Solutions
3.6","Columbus, OH",51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,100,110,105.0,DevCare Solutions, OH,18
Data Scientist - Product,Employer Provided Salary:$114K - $157K,"About Lyra Health
Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with industry leaders, such as Morgan Stanley, Uber, Amgen, and other Fortune 500 companies, to improve access to effective, high-quality mental health care for their employees and their families. With our innovative digital care platform and global provider network, 10 million people can receive the best care and feel better, faster. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $900 million.

At Lyra, we believe that data-driven technology and decision-making is a critical part of solving the thorny, complex challenges of provider quality and accessibility within what can only be described as a broken system. We are looking for a product-minded Data Scientist (minimum of 4+ years of experience) who cares about impact, ownership and cross functional collaboration.",4.3,"Lyra Health
4.3",United States,1001 to 5000 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),114,157,135.5,Lyra Health, CA,8
Data Scientist,Employer Provided Salary:$80K - $120K,"Data Scientist, Boulder, CO
Your Impact at Ascend Analytics
This position will be a key member supporting Ascend Analytics’ Market Intelligence team, which supports all long-term valuation activities at Ascend, working in project finance, utility planning, project development, and market strategy. You will be part of a collaborative team advancing software solutions and analytics to support the clean-tech power revolution. Your strong software engineering skills will support mission critical decision analytics for renewable and battery storage power providers around the globe.
Ascend Analytics is an innovative “climate tech” software and consulting company focused on energy analytics that are transforming the electric grid. Ascend's solutions provide the analytics to support critical power supply decisions from operating strategies, for short and long-term investment and resource planning decisions. For more information, visit www.ascendanalytics.com.",3.8,"Ascend Analytics, LLC
3.8","Boulder, CO",51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,80,120,100.0,"Ascend Analytics, LLC", CO,20
Data Scientist,Employer Provided Salary:$130K - $146K,"Requisition ID: 377004
Work Area: Information Technology
Expected Travel: 0%
Career Status: Professional
Employment Type: Regular Full Time
Career Level: T2
Original Posting Date: 7/17/23
Recruiter Name: J.L. Andal
Additional Locations:

Job Title: Data Scientist",4.4,"SAP
4.4","Palo Alto, CA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),130,146,138.0,SAP, CA,51
Data Scientist,$93K - $138K (Glassdoor est.),"Job Description:
Schneider Electric is looking for a passionate, talented, and inventive Data Scientist with a passion for learning and discovery. This person will help build industry-leading machine learning tools in the energy and sustainability management industry. As a member of the Sustainability Business team, you will collaborate with internal technology and business teams to build tools to support new services, expand and improve existing services and enable our teams to be more productive. You will be working with terabytes of structured and unstructured data to solve real-world problems. You will design and run experiments, research new algorithms, and find new ways of optimizing risk, profitability, and customer experience.

Responsibilities:
Design and develop optimization techniques and tools to identify trends in complex, large, structured, and unstructured data sets.

Qualifications:



About Our Company:",4.2,"Schneider Electric
4.2","Louisville, KY",10000+ Employees,1836,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),93,138,115.5,Schneider Electric, KY,187
Data Scientist,$92K - $135K (Glassdoor est.),"Must live or plan to relocate to NY

The Data Scientist I provides analytics that will optimize performance and outcomes throughout the Organization and especially in community program areas. The Data Scientist I will be responsible for gathering, evaluating, scrubbing, and analyzing data to uncover trends and business insights. Individual may be responsible for creating dashboards, supporting reports for community programs, and supporting the implementation of data governance policies.

Subscribes to and promotes Goodwill's mission, vision, and guiding principles, functions as a leader to achieve organization goals.














Brand: Goodwill
Address: Life Line Rochester, NY - 14620
Property Description: 600 - 211 Life Line - Rochester
Property Number: 600",3.3,"Goodwill
3.3","Rochester, NY",Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,92,135,113.5,Goodwill, NY,-1
Data Scientist,Employer Provided Salary:$125K - $150K,"About Blue Water Thinking
Guided by our principles of value generation, continuous innovation, customer-centricity, and vested collaboration, Blue Water Thinking proudly supports our Federal clients in achieving their Agency goals.
Founded by a decorated twenty-eight year Veteran of the United States Army, Blue Water Thinking understands and supports the mission of our Nation's war fighters, Veterans, their families and caretakers.
Leveraging our executive team's military experience and private and public sector consulting expertise, Blue Water Thinking takes an integrated ""one-team"" approach and brings to bear best-fit solutions, thought leadership, and grit to meet our client's transformational needs.",3.5,"Blue Water Thinking
3.5",Remote,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,125,150,137.5,Blue Water Thinking,Remote,-1
Data Scientist,Employer Provided Salary:$110K - $113K,"Greetings from KonnectingTree!
We are looking for a full-stack Data Scientist for a full-time position. Kindly go through the job description and let me know if interested.
Job Description:
Strong Python skills.
▪ Experience with popular tools and libraries in the Python data science and machine learning ecosystem: eg pandas, Jupyter, scikit-learn, darts, Matplotlib, Plotly, XGBoost, Optuna, dask.
▪ Experience training and tuning machine learning models.
▪ Experience and keen interest in timeseries forecasting.",-1.0,Konnectingtree,Remote,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,110,113,111.5,Konnectingtree,Remote,-1
"Data Scientist, Product",Employer Provided Salary:$160K - $255K,"About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).",4.8,"Notion
4.8","New York, NY",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,160,255,207.5,Notion, NY,7
Data Scientist III (Data Products),Employer Provided Salary:$149K - $175K,"The Role:
Cedar is growing rapidly and the demand for data backed insights is increasing across both our internal and external stakeholders. We’re seeking a Data Scientist III (Data Products) on our Data Science team to help ensure our internal teams and external stakeholders get access to data and insights they need to make informed decisions.
As a Data Scientist III (Data Products), you will be responsible for delivering reporting products that answer key questions and engage stakeholders. You will use data to help build and scale the future of Cedar’s analytics offerings. You will identify new opportunities for development and improvement, provide insights to teams across the organization, and drive better cross-functional relationships through data.
The Data Science team is based in NYC. Team members are expected to be in the office at least 3 days per week.",4.0,"Cedar Inc
4.0","New York, NY",51 to 200 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,149,175,162.0,Cedar Inc, NY,7
Data Scientist (REMOTE),Employer Provided Salary:$120K - $133K,"Basic Qualifications :
Requires a Bachelor’s degree in Engineering, or a related Science or Mathematics field. Also requires 5+ years of job-related experience, or a Master's degree plus 3 years of job-related experience.

Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position:
GDMS’ Deep Learning Analytics Center of Excellence (DLACoE) is looking for a data science professional having a wide range of data integration, data visualization, big data, and programming skills. Candidates should possess a demonstrated understanding of machine learning and profiency in software engineering with the ability to apply these skills under real world conditions.

Our Commitment to You:


Salary Note: This estimate represents the typical salary range for this position based on experience and other factors (geographic location, etc.). Actual pay may vary. Combined Salary Range: USD $119,700.00 - USD $132,700.00 /Yr. Company Overview:",3.8,"General Dynamics Mission Systems, Inc
3.8",Remote,10000+ Employees,1952,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),120,133,126.5,"General Dynamics Mission Systems, Inc",Remote,71
Junior Scientific Programmer/Data Scientist,$72K - $102K (Glassdoor est.),"All required qualifications must be documented on application materials.
Required Qualifications:
B.A./B.S. in Computer Science/Math/Statistics/Physics/Informatics or related technical disciplines and 2 years of related experience or a combination of education and experience in a research or technical environment to equal six (6) years.
Experience with R or Matlab or Python. Experience with SQL.
Experience writing code for complex computer programs independently. Please provide a link to samples of your code available online (Github or similar services).
Experience with basic machine learning or statistical methods.
Strong communication skills.",4.2,"University of Minnesota
4.2","Minneapolis, MN",Unknown,1851,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,72,102,87.0,University of Minnesota, MN,172
